,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
304,2013-06-15,R12,Richmond,16,14,110,Adelaide,10,12,72,M.C.G.,38,2013,Regular,1.0,2013,Richmond,130.0,353.0,40.0,59.0,11.0,Adelaide,144.0,352.0,44.0,52.0,3.0,-26.200000000000003,-7.0,13.0,-0.19999999999999574,-6.799999999999997,-0.8000000000000007
305,2013-06-15,R12,Fremantle,12,14,86,Brisbane Lions,6,10,46,Subiaco,40,2013,Regular,1.0,2013,Fremantle,120.0,389.0,35.0,48.0,11.0,Brisbane Lions,125.0,345.0,29.0,43.0,10.0,24.200000000000003,13.800000000000011,36.0,4.399999999999999,6.399999999999999,3.799999999999999
306,2013-06-15,R12,Essendon,17,13,115,Gold Coast,11,6,72,Docklands,43,2013,Regular,1.0,2013,Essendon,145.0,463.0,29.0,59.0,13.0,Gold Coast,121.0,373.0,32.0,45.0,11.0,18.0,-12.599999999999994,22.599999999999966,-3.3999999999999986,11.399999999999999,3.0
307,2013-06-16,R12,GWS,6,14,50,Port Adelaide,19,11,125,Sydney Showground,-75,2013,Regular,0.0,2013,GWS,137.0,379.0,39.0,41.0,4.0,Port Adelaide,144.0,450.0,43.0,67.0,9.0,-18.39999999999999,-19.400000000000006,-25.600000000000023,-4.399999999999999,-6.0,-5.0
308,2013-06-16,R12,Collingwood,15,9,99,Footscray,9,11,65,Docklands,34,2013,Regular,1.0,2013,Collingwood,132.0,394.0,40.0,53.0,14.0,Footscray,134.0,397.0,34.0,47.0,13.0,26.60000000000001,-4.200000000000017,20.0,-3.200000000000003,8.0,5.0
309,2013-06-21,R13,Hawthorn,19,9,123,West Coast,16,7,103,Docklands,20,2013,Regular,1.0,2013,Hawthorn,156.0,334.0,37.0,49.0,13.0,West Coast,155.0,383.0,43.0,57.0,14.0,-1.7999999999999972,-0.5999999999999943,39.39999999999998,-3.6000000000000014,2.0,0.8000000000000007
310,2013-06-22,R13,Port Adelaide,10,12,72,Sydney,8,6,54,Football Park,18,2013,Regular,1.0,2013,Port Adelaide,176.0,364.0,40.0,52.0,13.0,Sydney,163.0,330.0,48.0,43.0,3.0,-8.799999999999997,-14.199999999999989,-9.600000000000023,-5.799999999999997,-2.8000000000000043,0.6000000000000014
311,2013-06-22,R13,St Kilda,16,8,104,Melbourne,10,9,69,M.C.G.,35,2013,Regular,1.0,2013,St Kilda,138.0,400.0,42.0,45.0,14.0,Melbourne,120.0,366.0,29.0,46.0,9.0,22.000000000000007,22.000000000000014,52.80000000000001,3.200000000000003,11.400000000000006,5.000000000000001
312,2013-06-22,R13,Footscray,8,13,61,Richmond,17,19,121,Docklands,-60,2013,Regular,0.0,2013,Footscray,121.0,344.0,40.0,46.0,11.0,Richmond,146.0,344.0,30.0,61.0,17.0,-9.400000000000006,12.199999999999989,-0.6000000000000227,4.799999999999997,-3.200000000000003,-1.3999999999999986
313,2013-06-23,R13,Fremantle,10,7,67,North Melbourne,4,5,29,Subiaco,38,2013,Regular,1.0,2013,Fremantle,146.0,363.0,35.0,47.0,11.0,North Melbourne,139.0,347.0,32.0,36.0,6.0,-5.799999999999997,-2.799999999999983,49.39999999999998,-1.1999999999999957,0.20000000000000284,3.1999999999999993
314,2013-06-23,R13,Brisbane Lions,15,13,103,Geelong,14,14,98,Gabba,5,2013,Regular,1.0,2013,Brisbane Lions,155.0,367.0,39.0,54.0,11.0,Geelong,141.0,380.0,32.0,62.0,15.0,-38.0,-1.1999999999999886,-39.60000000000002,1.8000000000000043,-4.799999999999997,-4.4
315,2013-06-27,R14,West Coast,13,13,91,Essendon,15,8,98,Subiaco,-7,2013,Regular,0.0,2013,West Coast,157.0,383.0,37.0,49.0,12.0,Essendon,144.0,346.0,46.0,48.0,8.0,1.0,-18.599999999999994,-47.799999999999955,-0.6000000000000014,-8.199999999999996,2.8000000000000007
316,2013-06-28,R14,Sydney,8,17,65,Carlton,5,13,43,S.C.G.,22,2013,Regular,1.0,2013,Sydney,190.0,346.0,47.0,55.0,7.0,Carlton,160.0,307.0,48.0,56.0,6.0,17.400000000000006,16.200000000000017,27.0,8.0,2.200000000000003,-1.0
317,2013-06-29,R14,Gold Coast,11,17,83,Adelaide,16,15,111,Carrara,-28,2013,Regular,0.0,2013,Gold Coast,140.0,376.0,34.0,59.0,9.0,Adelaide,141.0,408.0,34.0,57.0,14.0,-41.0,16.400000000000006,-8.0,5.199999999999996,0.6000000000000014,-2.4000000000000004
318,2013-06-29,R14,Port Adelaide,13,8,86,Collingwood,7,9,51,Football Park,35,2013,Regular,1.0,2013,Port Adelaide,147.0,419.0,39.0,54.0,6.0,Collingwood,134.0,404.0,27.0,38.0,15.0,-13.599999999999994,10.400000000000006,-31.80000000000001,2.8000000000000043,-6.0,-4.0
319,2013-06-29,R14,Melbourne,15,13,103,Footscray,15,10,100,M.C.G.,3,2013,Regular,1.0,2013,Melbourne,134.0,345.0,37.0,56.0,9.0,Footscray,164.0,340.0,48.0,51.0,13.0,7.3999999999999915,-21.19999999999999,-34.200000000000045,-6.599999999999994,-5.199999999999996,1.0000000000000009
320,2013-06-29,R14,Geelong,11,19,85,Fremantle,7,2,44,Kardinia Park,41,2013,Regular,1.0,2013,Geelong,185.0,418.0,39.0,59.0,13.0,Fremantle,123.0,316.0,34.0,32.0,4.0,32.39999999999999,3.4000000000000057,26.19999999999999,-6.199999999999999,13.0,5.600000000000001
321,2013-06-30,R14,Hawthorn,21,17,143,Brisbane Lions,12,13,85,York Park,58,2013,Regular,1.0,2013,Hawthorn,162.0,347.0,37.0,56.0,16.0,Brisbane Lions,154.0,317.0,44.0,56.0,5.0,49.2,13.0,39.19999999999999,5.200000000000003,9.399999999999999,8.400000000000002
322,2013-06-30,R14,North Melbourne,19,16,130,GWS,6,8,44,Docklands,86,2013,Regular,1.0,2013,North Melbourne,116.0,386.0,38.0,49.0,24.0,GWS,98.0,324.0,21.0,26.0,6.0,38.80000000000001,6.799999999999983,23.80000000000001,0.8000000000000043,14.799999999999997,6.3999999999999995
323,2013-06-30,R14,Richmond,17,17,119,St Kilda,8,7,55,M.C.G.,64,2013,Regular,1.0,2013,Richmond,142.0,367.0,41.0,70.0,22.0,St Kilda,119.0,326.0,33.0,31.0,9.0,7.599999999999994,5.999999999999986,15.199999999999989,5.800000000000001,1.0,1.5999999999999996
324,2013-07-05,R15,Carlton,12,5,77,Collingwood,17,16,118,M.C.G.,-41,2013,Regular,0.0,2013,Carlton,137.0,334.0,32.0,38.0,6.0,Collingwood,157.0,389.0,37.0,61.0,18.0,31.799999999999997,15.199999999999989,-29.0,8.200000000000003,4.200000000000003,1.1999999999999993
325,2013-07-06,R15,GWS,12,11,83,Footscray,13,9,87,Manuka Oval,-4,2013,Regular,0.0,2013,GWS,122.0,298.0,36.0,36.0,8.0,Footscray,161.0,369.0,46.0,57.0,8.0,-8.799999999999997,-23.400000000000006,-23.399999999999977,-5.200000000000003,-7.399999999999999,-3.000000000000001
326,2013-07-06,R15,North Melbourne,19,14,128,Richmond,8,18,66,Docklands,62,2013,Regular,1.0,2013,North Melbourne,142.0,401.0,41.0,53.0,12.0,Richmond,127.0,302.0,39.0,56.0,9.0,17.599999999999994,2.5999999999999943,22.80000000000001,3.6000000000000014,3.6000000000000014,4.600000000000001
327,2013-07-06,R15,Brisbane Lions,17,14,116,Gold Coast,12,11,83,Gabba,33,2013,Regular,1.0,2013,Brisbane Lions,127.0,349.0,39.0,60.0,14.0,Gold Coast,130.0,335.0,35.0,45.0,6.0,-10.800000000000011,-2.5999999999999943,-29.600000000000023,0.6000000000000014,1.3999999999999986,-1.4000000000000004
328,2013-07-06,R15,Adelaide,9,15,69,West Coast,11,9,75,Football Park,-6,2013,Regular,0.0,2013,Adelaide,159.0,350.0,40.0,54.0,9.0,West Coast,145.0,355.0,38.0,49.0,7.0,-35.0,9.0,21.600000000000023,-6.200000000000003,-3.799999999999997,-6.000000000000002
329,2013-07-06,R15,Geelong,11,16,82,Hawthorn,10,12,72,M.C.G.,10,2013,Regular,1.0,2013,Geelong,146.0,348.0,36.0,50.0,10.0,Hawthorn,139.0,348.0,36.0,59.0,9.0,-15.0,-1.5999999999999943,7.0,-8.8,1.2000000000000028,2.200000000000001
330,2013-07-07,R15,Melbourne,13,7,85,Sydney,16,20,116,M.C.G.,-31,2013,Regular,0.0,2013,Melbourne,117.0,355.0,25.0,36.0,11.0,Sydney,156.0,396.0,45.0,62.0,11.0,-11.200000000000003,-24.799999999999983,-30.599999999999966,-5.799999999999997,-6.200000000000003,-3.3999999999999986
331,2013-07-07,R15,Fremantle,15,10,100,St Kilda,11,4,70,Subiaco,30,2013,Regular,1.0,2013,Fremantle,141.0,439.0,40.0,56.0,15.0,St Kilda,135.0,330.0,31.0,40.0,8.0,16.0,20.799999999999997,55.19999999999999,3.400000000000002,6.200000000000003,2.3999999999999986
332,2013-07-07,R15,Essendon,18,10,118,Port Adelaide,12,16,88,Docklands,30,2013,Regular,1.0,2013,Essendon,141.0,419.0,38.0,54.0,17.0,Port Adelaide,140.0,346.0,43.0,61.0,9.0,11.599999999999994,1.0,29.200000000000045,-3.6000000000000014,6.200000000000003,2.200000000000001
333,2013-07-12,R16,Collingwood,17,9,111,Adelaide,12,12,84,M.C.G.,27,2013,Regular,1.0,2013,Collingwood,152.0,407.0,37.0,62.0,14.0,Adelaide,132.0,358.0,26.0,48.0,11.0,-25.799999999999997,4.399999999999977,-1.3999999999999773,3.1999999999999957,-3.0,-3.1999999999999993
334,2013-07-13,R16,Port Adelaide,12,7,79,Hawthorn,19,10,124,Football Park,-45,2013,Regular,0.0,2013,Port Adelaide,148.0,363.0,31.0,46.0,12.0,Hawthorn,129.0,360.0,43.0,56.0,20.0,-33.60000000000001,-7.800000000000011,2.1999999999999886,-2.200000000000003,-8.0,-1.1999999999999993
335,2013-07-13,R16,Geelong,13,20,98,Melbourne,4,6,30,Kardinia Park,68,2013,Regular,1.0,2013,Geelong,167.0,334.0,59.0,70.0,11.0,Melbourne,156.0,302.0,45.0,19.0,1.0,37.400000000000006,35.0,71.59999999999997,1.1999999999999993,16.6,6.2
336,2013-07-13,R16,Richmond,6,17,53,Gold Coast,6,8,44,Cazaly's Stadium,9,2013,Regular,1.0,2013,Richmond,150.0,362.0,40.0,48.0,7.0,Gold Coast,136.0,348.0,37.0,45.0,8.0,10.399999999999991,-5.400000000000006,-4.400000000000034,1.2000000000000028,7.200000000000003,5.800000000000001
337,2013-07-13,R16,Carlton,16,14,110,St Kilda,10,14,74,Docklands,36,2013,Regular,1.0,2013,Carlton,141.0,335.0,34.0,50.0,16.0,St Kilda,124.0,350.0,38.0,46.0,13.0,45.60000000000001,30.0,41.60000000000002,10.200000000000003,13.399999999999999,7.200000000000001
338,2013-07-13,R16,Brisbane Lions,18,9,117,North Melbourne,17,3,105,Gabba,12,2013,Regular,1.0,2013,Brisbane Lions,132.0,295.0,35.0,57.0,13.0,North Melbourne,130.0,343.0,41.0,43.0,13.0,4.400000000000006,-10.800000000000011,3.0,-0.4000000000000057,0.6000000000000014,1.4000000000000004
339,2013-07-14,R16,Sydney,24,27,171,GWS,5,12,42,S.C.G.,129,2013,Regular,1.0,2013,Sydney,154.0,418.0,35.0,76.0,31.0,GWS,104.0,294.0,32.0,31.0,6.0,25.799999999999997,32.60000000000002,23.399999999999977,11.200000000000003,16.6,4.6
340,2013-07-14,R16,Footscray,14,6,90,Essendon,18,13,121,Docklands,-31,2013,Regular,0.0,2013,Footscray,162.0,415.0,44.0,60.0,13.0,Essendon,134.0,387.0,38.0,53.0,14.0,-16.799999999999997,-3.8000000000000114,-26.19999999999999,-0.3999999999999986,-10.600000000000001,-2.5999999999999996
341,2013-07-14,R16,West Coast,14,9,93,Fremantle,19,7,121,Subiaco,-28,2013,Regular,0.0,2013,West Coast,156.0,305.0,44.0,47.0,10.0,Fremantle,156.0,365.0,45.0,44.0,15.0,18.0,-0.4000000000000057,3.0,-1.3999999999999986,4.600000000000001,5.199999999999999
342,2013-07-19,R17,North Melbourne,16,12,108,Carlton,16,13,109,Docklands,-1,2013,Regular,0.0,2013,North Melbourne,144.0,344.0,41.0,54.0,15.0,Carlton,147.0,290.0,37.0,50.0,11.0,47.599999999999994,-9.400000000000006,36.60000000000002,-0.4000000000000057,0.0,4.600000000000001
343,2013-07-20,R17,Hawthorn,13,17,95,Footscray,11,10,76,York Park,19,2013,Regular,1.0,2013,Hawthorn,119.0,345.0,38.0,49.0,13.0,Footscray,131.0,362.0,33.0,39.0,16.0,44.0,8.0,13.0,2.200000000000003,5.800000000000004,6.599999999999998
344,2013-07-20,R17,GWS,11,11,77,Essendon,18,8,116,Sydney Showground,-39,2013,Regular,0.0,2013,GWS,152.0,355.0,47.0,40.0,9.0,Essendon,141.0,355.0,42.0,60.0,6.0,-25.60000000000001,-17.599999999999994,-33.599999999999966,-6.399999999999999,-13.600000000000001,-4.4
345,2013-07-20,R17,Gold Coast,13,7,85,Collingwood,11,12,78,Carrara,7,2013,Regular,1.0,2013,Gold Coast,134.0,367.0,42.0,48.0,7.0,Collingwood,140.0,391.0,41.0,60.0,12.0,-20.39999999999999,7.599999999999994,-47.200000000000045,5.400000000000006,0.7999999999999972,-4.6
346,2013-07-20,R17,Melbourne,11,9,75,Brisbane Lions,13,16,94,Marrara Oval,-19,2013,Regular,0.0,2013,Melbourne,141.0,309.0,42.0,50.0,11.0,Brisbane Lions,154.0,357.0,38.0,56.0,8.0,-3.0,-12.599999999999994,-1.3999999999999773,-1.6000000000000014,-3.799999999999997,-0.8000000000000007
347,2013-07-20,R17,St Kilda,13,14,92,Port Adelaide,14,13,97,Docklands,-5,2013,Regular,0.0,2013,St Kilda,131.0,350.0,46.0,49.0,12.0,Port Adelaide,109.0,298.0,36.0,45.0,16.0,-4.0,-1.5999999999999943,-1.3999999999999773,-5.0,-7.600000000000001,2.1999999999999993
348,2013-07-21,R17,Richmond,12,12,84,Fremantle,8,9,57,M.C.G.,27,2013,Regular,1.0,2013,Richmond,141.0,402.0,40.0,45.0,8.0,Fremantle,125.0,346.0,23.0,40.0,8.0,10.0,-12.200000000000017,22.799999999999955,0.19999999999999574,8.799999999999997,4.4
349,2013-07-21,R17,Adelaide,14,10,94,Geelong,14,8,92,Football Park,2,2013,Regular,1.0,2013,Adelaide,157.0,416.0,38.0,60.0,11.0,Geelong,155.0,318.0,37.0,51.0,14.0,-51.0,10.0,-7.2000000000000455,0.5999999999999943,-5.0,-3.5999999999999996
350,2013-07-21,R17,West Coast,11,13,79,Sydney,17,11,113,Subiaco,-34,2013,Regular,0.0,2013,West Coast,134.0,364.0,36.0,39.0,12.0,Sydney,158.0,382.0,46.0,53.0,9.0,-1.6000000000000085,-7.0,-39.80000000000001,-2.8000000000000043,-4.0,0.5999999999999996
351,2013-07-26,R18,Essendon,13,9,87,Hawthorn,22,11,143,Docklands,-56,2013,Regular,0.0,2013,Essendon,130.0,340.0,35.0,40.0,10.0,Hawthorn,143.0,438.0,41.0,66.0,20.0,-2.799999999999997,-2.1999999999999886,42.400000000000034,-2.3999999999999986,0.6000000000000014,-0.40000000000000036
352,2013-07-27,R18,Gold Coast,11,11,77,Carlton,16,24,120,Carrara,-43,2013,Regular,0.0,2013,Gold Coast,126.0,319.0,29.0,40.0,6.0,Carlton,145.0,388.0,41.0,65.0,13.0,-1.7999999999999972,0.39999999999997726,38.60000000000002,-0.5999999999999943,0.7999999999999972,-2.1999999999999993
353,2013-07-27,R18,Melbourne,4,4,28,North Melbourne,22,18,150,Docklands,-122,2013,Regular,0.0,2013,Melbourne,106.0,290.0,27.0,30.0,2.0,North Melbourne,154.0,439.0,49.0,66.0,21.0,-14.799999999999997,-15.599999999999994,4.800000000000011,-3.8000000000000043,-2.6000000000000014,-1.8000000000000007
354,2013-07-27,R18,Collingwood,15,16,106,GWS,10,6,66,M.C.G.,40,2013,Regular,1.0,2013,Collingwood,143.0,393.0,37.0,52.0,13.0,GWS,137.0,364.0,41.0,34.0,3.0,38.4,15.199999999999989,50.80000000000001,1.8000000000000043,21.0,6.0
355,2013-07-27,R18,Fremantle,11,9,75,Adelaide,7,11,53,Subiaco,22,2013,Regular,1.0,2013,Fremantle,129.0,391.0,26.0,33.0,14.0,Adelaide,136.0,402.0,33.0,45.0,7.0,-19.200000000000003,1.0,25.599999999999966,0.3999999999999986,-5.600000000000001,-0.20000000000000107
356,2013-07-27,R18,Geelong,21,11,137,St Kilda,5,6,36,Kardinia Park,101,2013,Regular,1.0,2013,Geelong,138.0,398.0,35.0,63.0,17.0,St Kilda,128.0,338.0,36.0,25.0,4.0,38.0,37.8,37.60000000000002,5.9999999999999964,19.199999999999996,4.200000000000001
357,2013-07-28,R18,Port Adelaide,9,17,71,Brisbane Lions,9,8,62,Football Park,9,2013,Regular,1.0,2013,Port Adelaide,158.0,381.0,40.0,58.0,12.0,Brisbane Lions,132.0,343.0,33.0,43.0,9.0,0.3999999999999915,5.0,27.399999999999977,1.2000000000000028,0.8000000000000043,4.4
358,2013-07-28,R18,Footscray,16,15,111,West Coast,13,11,89,Docklands,22,2013,Regular,1.0,2013,Footscray,143.0,430.0,37.0,56.0,14.0,West Coast,127.0,370.0,34.0,55.0,13.0,-24.799999999999997,4.799999999999983,3.1999999999999886,-1.7999999999999972,-4.599999999999994,-4.800000000000001
359,2013-07-28,R18,Sydney,16,14,110,Richmond,9,9,63,S.C.G.,47,2013,Regular,1.0,2013,Sydney,144.0,383.0,34.0,65.0,17.0,Richmond,130.0,400.0,36.0,47.0,9.0,10.400000000000006,26.80000000000001,41.39999999999998,9.800000000000004,6.200000000000003,2.8000000000000007
360,2013-08-02,R19,North Melbourne,15,6,96,Geelong,13,8,86,Docklands,10,2013,Regular,1.0,2013,North Melbourne,154.0,432.0,39.0,46.0,10.0,Geelong,131.0,332.0,33.0,59.0,8.0,12.799999999999997,-6.0,16.400000000000034,7.200000000000003,-1.0,2.6000000000000014
361,2013-08-03,R19,GWS,19,10,124,Melbourne,12,15,87,Sydney Showground,37,2013,Regular,1.0,2013,GWS,126.0,388.0,37.0,56.0,11.0,Melbourne,127.0,331.0,37.0,48.0,9.0,18.39999999999999,11.399999999999991,37.0,6.800000000000004,8.200000000000003,0.7999999999999998
362,2013-08-03,R19,Hawthorn,9,12,66,Richmond,16,11,107,M.C.G.,-41,2013,Regular,0.0,2013,Hawthorn,114.0,332.0,36.0,48.0,14.0,Richmond,146.0,375.0,54.0,46.0,12.0,30.39999999999999,17.80000000000001,22.599999999999966,4.799999999999997,5.599999999999994,4.799999999999999
363,2013-08-03,R19,West Coast,20,10,130,Gold Coast,17,11,113,Subiaco,17,2013,Regular,1.0,2013,West Coast,135.0,345.0,38.0,49.0,16.0,Gold Coast,145.0,331.0,41.0,50.0,6.0,10.599999999999994,9.800000000000011,-23.799999999999955,1.0,2.6000000000000014,4.0
364,2013-08-03,R19,Carlton,12,8,80,Fremantle,17,14,116,Docklands,-36,2013,Regular,0.0,2013,Carlton,140.0,342.0,35.0,42.0,10.0,Fremantle,153.0,347.0,41.0,58.0,14.0,34.60000000000001,-1.0,4.399999999999977,2.799999999999997,7.0,6.6
365,2013-08-03,R19,Brisbane Lions,16,12,108,St Kilda,11,11,77,Gabba,31,2013,Regular,1.0,2013,Brisbane Lions,130.0,386.0,38.0,53.0,7.0,St Kilda,134.0,361.0,39.0,49.0,7.0,34.400000000000006,6.200000000000017,-7.600000000000023,1.0,16.4,3.8000000000000007
366,2013-08-04,R19,Footscray,15,9,99,Sydney,21,8,134,Docklands,-35,2013,Regular,0.0,2013,Footscray,169.0,406.0,51.0,60.0,10.0,Sydney,167.0,362.0,43.0,54.0,9.0,-17.200000000000003,-7.0,-9.799999999999955,0.6000000000000014,-3.3999999999999986,-1.1999999999999993
367,2013-08-04,R19,Adelaide,15,13,103,Port Adelaide,17,5,107,Football Park,-4,2013,Regular,0.0,2013,Adelaide,152.0,354.0,42.0,50.0,11.0,Port Adelaide,138.0,339.0,44.0,50.0,13.0,-20.0,20.0,32.0,-3.8000000000000043,-1.1999999999999957,-0.5999999999999996
368,2013-08-04,R19,Collingwood,20,13,133,Essendon,7,12,54,M.C.G.,79,2013,Regular,1.0,2013,Collingwood,155.0,398.0,28.0,63.0,19.0,Essendon,145.0,355.0,42.0,46.0,4.0,-4.800000000000011,-2.0,22.80000000000001,-6.0,-0.20000000000000284,3.200000000000001
369,2013-08-09,R20,St Kilda,7,14,56,Hawthorn,14,18,102,Docklands,-46,2013,Regular,0.0,2013,St Kilda,119.0,381.0,27.0,47.0,8.0,Hawthorn,110.0,415.0,36.0,57.0,14.0,-26.0,-15.400000000000006,-20.80000000000001,-2.8000000000000043,-15.0,-2.1999999999999993
370,2013-08-10,R20,Richmond,14,13,97,Brisbane Lions,11,8,74,M.C.G.,23,2013,Regular,1.0,2013,Richmond,141.0,424.0,39.0,55.0,16.0,Brisbane Lions,115.0,296.0,30.0,44.0,11.0,9.0,2.8000000000000114,34.400000000000034,2.799999999999997,5.0,2.8000000000000007
371,2013-08-10,R20,Geelong,20,9,129,Port Adelaide,16,8,104,Kardinia Park,25,2013,Regular,1.0,2013,Geelong,125.0,364.0,30.0,49.0,11.0,Port Adelaide,139.0,360.0,43.0,47.0,14.0,10.0,20.599999999999994,19.80000000000001,-1.3999999999999986,5.800000000000004,1.5999999999999996
372,2013-08-10,R20,Carlton,13,11,89,Footscray,16,21,117,Docklands,-28,2013,Regular,0.0,2013,Carlton,141.0,325.0,40.0,49.0,10.0,Footscray,158.0,422.0,47.0,70.0,9.0,12.800000000000011,-3.799999999999983,-19.19999999999999,-1.5999999999999943,-0.6000000000000014,1.6000000000000014
373,2013-08-10,R20,Sydney,10,11,71,Collingwood,14,16,100,Stadium Australia,-29,2013,Regular,0.0,2013,Sydney,134.0,318.0,39.0,38.0,10.0,Collingwood,147.0,388.0,36.0,57.0,12.0,12.400000000000006,20.200000000000017,-25.400000000000034,9.400000000000006,2.0,-2.0000000000000018
374,2013-08-10,R20,Gold Coast,13,12,90,Melbourne,10,17,77,Carrara,13,2013,Regular,1.0,2013,Gold Coast,117.0,336.0,42.0,45.0,10.0,Melbourne,142.0,374.0,36.0,53.0,8.0,21.199999999999996,18.799999999999997,39.80000000000001,4.799999999999997,19.0,2.8000000000000007
375,2013-08-11,R20,Essendon,9,13,67,West Coast,18,12,120,Docklands,-53,2013,Regular,0.0,2013,Essendon,145.0,397.0,38.0,60.0,13.0,West Coast,141.0,364.0,39.0,51.0,12.0,-4.6000000000000085,-3.0,29.0,-5.800000000000004,-3.0,-1.8000000000000007
376,2013-08-11,R20,Adelaide,11,13,79,North Melbourne,10,10,70,Football Park,9,2013,Regular,1.0,2013,Adelaide,139.0,367.0,31.0,57.0,7.0,North Melbourne,132.0,332.0,32.0,41.0,4.0,-9.599999999999994,21.0,28.19999999999999,0.19999999999999574,4.399999999999999,-1.4000000000000004
377,2013-08-11,R20,Fremantle,24,13,157,GWS,6,8,44,Subiaco,113,2013,Regular,1.0,2013,Fremantle,151.0,394.0,39.0,51.0,13.0,GWS,108.0,306.0,31.0,29.0,5.0,38.99999999999999,19.19999999999999,77.40000000000003,1.4000000000000057,14.800000000000004,9.6
378,2013-08-16,R21,Hawthorn,18,11,119,Collingwood,12,12,84,M.C.G.,35,2013,Regular,1.0,2013,Hawthorn,140.0,373.0,35.0,52.0,20.0,Collingwood,137.0,337.0,41.0,44.0,11.0,15.200000000000003,-1.8000000000000114,-39.19999999999999,4.0,-2.0,-1.8000000000000007
379,2013-08-17,R21,Richmond,14,12,96,Carlton,16,10,106,M.C.G.,-10,2013,Regular,0.0,2013,Richmond,147.0,332.0,35.0,51.0,11.0,Carlton,149.0,343.0,45.0,61.0,16.0,4.199999999999989,-7.199999999999989,42.80000000000001,-1.2000000000000028,-1.0,0.0
380,2013-08-17,R21,Port Adelaide,16,17,113,Gold Coast,14,12,96,Football Park,17,2013,Regular,1.0,2013,Port Adelaide,127.0,391.0,37.0,60.0,19.0,Gold Coast,117.0,285.0,36.0,45.0,17.0,-1.3999999999999915,17.0,32.19999999999999,-1.0,5.799999999999997,3.4000000000000004
381,2013-08-17,R21,Essendon,9,16,70,North Melbourne,17,13,115,Docklands,-45,2013,Regular,0.0,2013,Essendon,126.0,355.0,33.0,42.0,14.0,North Melbourne,138.0,376.0,30.0,54.0,12.0,11.799999999999997,-6.0,43.60000000000002,-4.0,5.799999999999997,3.4000000000000004
382,2013-08-17,R21,West Coast,6,5,41,Geelong,16,11,107,Subiaco,-66,2013,Regular,0.0,2013,West Coast,145.0,338.0,34.0,36.0,5.0,Geelong,157.0,434.0,41.0,58.0,5.0,-18.799999999999997,5.799999999999983,-11.600000000000023,4.400000000000006,-9.0,-1.5999999999999996
383,2013-08-17,R21,Brisbane Lions,18,15,123,GWS,9,9,63,Gabba,60,2013,Regular,1.0,2013,Brisbane Lions,137.0,410.0,34.0,67.0,12.0,GWS,116.0,308.0,35.0,41.0,6.0,49.0,19.39999999999999,9.199999999999989,4.0,21.599999999999998,5.800000000000001
384,2013-08-18,R21,Melbourne,5,8,38,Fremantle,20,13,133,M.C.G.,-95,2013,Regular,0.0,2013,Melbourne,119.0,348.0,26.0,39.0,6.0,Fremantle,136.0,451.0,33.0,64.0,14.0,-14.799999999999997,-22.799999999999997,-17.19999999999999,-6.800000000000001,-2.200000000000003,-1.3999999999999995
385,2013-08-18,R21,Sydney,18,10,118,St Kilda,8,11,59,S.C.G.,59,2013,Regular,1.0,2013,Sydney,141.0,389.0,39.0,63.0,19.0,St Kilda,134.0,377.0,38.0,41.0,9.0,44.00000000000001,32.80000000000001,29.600000000000023,9.800000000000004,19.799999999999997,6.0
386,2013-08-18,R21,Footscray,20,11,131,Adelaide,17,12,114,Docklands,17,2013,Regular,1.0,2013,Footscray,138.0,388.0,35.0,47.0,21.0,Adelaide,140.0,322.0,45.0,53.0,9.0,-3.4000000000000057,18.19999999999999,21.19999999999999,11.399999999999999,2.200000000000003,0.5999999999999996
387,2013-08-23,R22,Collingwood,15,11,101,West Coast,5,9,39,M.C.G.,62,2013,Regular,1.0,2013,Collingwood,143.0,454.0,27.0,58.0,12.0,West Coast,139.0,380.0,34.0,44.0,10.0,6.599999999999994,6.600000000000023,29.19999999999999,-4.600000000000001,4.599999999999994,2.1999999999999993
388,2013-08-24,R22,Adelaide,18,12,120,Melbourne,7,10,52,Football Park,68,2013,Regular,1.0,2013,Adelaide,137.0,404.0,43.0,54.0,12.0,Melbourne,119.0,325.0,32.0,34.0,11.0,18.4,22.799999999999983,43.599999999999966,1.6000000000000014,14.599999999999994,3.1999999999999993
389,2013-08-24,R22,North Melbourne,15,13,103,Hawthorn,17,15,117,Docklands,-14,2013,Regular,0.0,2013,North Melbourne,131.0,387.0,32.0,52.0,20.0,Hawthorn,128.0,326.0,33.0,50.0,9.0,10.400000000000006,6.600000000000023,20.400000000000034,3.3999999999999986,-7.0,-0.40000000000000036
390,2013-08-24,R22,Geelong,13,14,92,Sydney,7,6,48,Kardinia Park,44,2013,Regular,1.0,2013,Geelong,151.0,433.0,30.0,62.0,11.0,Sydney,149.0,349.0,38.0,37.0,8.0,-2.5999999999999943,-8.600000000000023,-3.6000000000000227,-3.200000000000003,2.8000000000000043,2.5999999999999996
