,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
25,2012-04-15,R3,Hawthorn,21,14,140,Adelaide,12,12,84,M.C.G.,56,2012,Regular,1.0,2012,Hawthorn,128.0,407.0,31.0,52.0,21.0,Adelaide,149.0,304.0,38.0,49.0,10.0,,,,,,
26,2012-04-15,R3,North Melbourne,20,11,131,Geelong,16,18,114,Docklands,17,2012,Regular,1.0,2012,North Melbourne,135.0,385.0,44.0,57.0,19.0,Geelong,123.0,327.0,33.0,55.0,16.0,,,,,,
27,2012-04-20,R4,St Kilda,11,13,79,Fremantle,14,8,92,Docklands,-13,2012,Regular,0.0,2012,St Kilda,156.0,365.0,43.0,56.0,16.0,Fremantle,141.0,387.0,30.0,44.0,12.0,,,,,,
28,2012-04-21,R4,Carlton,11,13,79,Essendon,15,19,109,M.C.G.,-30,2012,Regular,0.0,2012,Carlton,140.0,336.0,35.0,54.0,11.0,Essendon,142.0,353.0,38.0,49.0,10.0,,,,,,
29,2012-04-21,R4,Collingwood,14,13,97,Port Adelaide,10,13,73,Docklands,24,2012,Regular,1.0,2012,Collingwood,140.0,380.0,37.0,47.0,13.0,Port Adelaide,139.0,398.0,34.0,55.0,9.0,,,,,,
30,2012-04-21,R4,Adelaide,13,18,96,GWS,7,8,50,Football Park,46,2012,Regular,1.0,2012,Adelaide,192.0,370.0,52.0,56.0,8.0,GWS,136.0,313.0,38.0,35.0,5.0,,,,,,
31,2012-04-21,R4,West Coast,5,21,51,Hawthorn,5,16,46,Subiaco,5,2012,Regular,1.0,2012,West Coast,143.0,354.0,39.0,45.0,7.0,Hawthorn,130.0,304.0,35.0,56.0,5.0,,,,,,
32,2012-04-21,R4,Brisbane Lions,17,9,111,Gold Coast,6,10,46,Gabba,65,2012,Regular,1.0,2012,Brisbane Lions,169.0,430.0,45.0,60.0,12.0,Gold Coast,162.0,349.0,41.0,47.0,4.0,,,,,,
33,2012-04-22,R4,Geelong,11,9,75,Richmond,9,11,65,Kardinia Park,10,2012,Regular,1.0,2012,Geelong,147.0,373.0,37.0,49.0,9.0,Richmond,157.0,397.0,40.0,48.0,11.0,,,,,,
34,2012-04-22,R4,Sydney,17,11,113,North Melbourne,10,17,77,S.C.G.,36,2012,Regular,1.0,2012,Sydney,149.0,332.0,44.0,57.0,9.0,North Melbourne,168.0,362.0,50.0,60.0,10.0,,,,,,
35,2012-04-22,R4,Melbourne,9,13,67,Footscray,13,10,88,M.C.G.,-21,2012,Regular,0.0,2012,Melbourne,143.0,276.0,47.0,42.0,10.0,Footscray,147.0,368.0,40.0,46.0,4.0,,,,,,
36,2012-04-25,R5,Collingwood,11,14,80,Essendon,11,13,79,M.C.G.,1,2012,Regular,1.0,2012,Collingwood,168.0,372.0,45.0,60.0,9.0,Essendon,153.0,325.0,38.0,54.0,4.0,,,,,,
37,2012-04-27,R5,Fremantle,7,15,57,Carlton,10,5,65,Subiaco,-8,2012,Regular,0.0,2012,Fremantle,125.0,357.0,40.0,41.0,7.0,Carlton,126.0,372.0,30.0,46.0,4.0,,,,,,
38,2012-04-28,R5,GWS,9,8,62,Footscray,15,14,104,Manuka Oval,-42,2012,Regular,0.0,2012,GWS,137.0,368.0,37.0,37.0,4.0,Footscray,142.0,421.0,49.0,62.0,12.0,,,,,,
39,2012-04-28,R5,North Melbourne,17,25,127,Gold Coast,13,15,93,Docklands,34,2012,Regular,1.0,2012,North Melbourne,152.0,395.0,41.0,61.0,16.0,Gold Coast,123.0,300.0,35.0,43.0,12.0,,,,,,
40,2012-04-28,R5,Melbourne,10,6,66,St Kilda,12,12,84,M.C.G.,-18,2012,Regular,0.0,2012,Melbourne,164.0,338.0,51.0,44.0,3.0,St Kilda,159.0,325.0,43.0,66.0,11.0,,,,,,
41,2012-04-28,R5,Brisbane Lions,4,17,41,Geelong,12,7,79,Gabba,-38,2012,Regular,0.0,2012,Brisbane Lions,186.0,325.0,45.0,54.0,2.0,Geelong,161.0,342.0,44.0,46.0,6.0,,,,,,
42,2012-04-29,R5,Hawthorn,10,9,69,Sydney,16,10,106,York Park,-37,2012,Regular,0.0,2012,Hawthorn,152.0,348.0,33.0,41.0,11.0,Sydney,157.0,367.0,41.0,54.0,14.0,,,,,,
43,2012-04-29,R5,Richmond,14,13,97,West Coast,16,11,107,Docklands,-10,2012,Regular,0.0,2012,Richmond,134.0,348.0,38.0,47.0,13.0,West Coast,136.0,321.0,34.0,52.0,10.0,,,,,,
44,2012-04-29,R5,Adelaide,16,14,110,Port Adelaide,14,7,91,Football Park,19,2012,Regular,1.0,2012,Adelaide,138.0,359.0,37.0,61.0,12.0,Port Adelaide,119.0,322.0,27.0,47.0,15.0,,,,,,
