"Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type"
"2012-06-02","R10","Geelong",19,12,126,"GWS",9,7,61,"Kardinia Park",65,2012,"Regular"
"2012-06-02","R10","Hawthorn",27,12,174,"North Melbourne",9,5,59,"York Park",115,2012,"Regular"
"2012-06-02","R10","Fremantle",12,10,82,"Adelaide",17,9,111,"Subiaco",-29,2012,"Regular"
"2012-06-02","R10","Port Adelaide",14,15,99,"Carlton",6,9,45,"Football Park",54,2012,"Regular"
"2012-06-02","R10","Essendon",6,16,52,"Melbourne",8,10,58,"M.C.G.",-6,2012,"Regular"
"2012-06-03","R10","Brisbane Lions",16,6,102,"West Coast",15,10,100,"Gabba",2,2012,"Regular"
"2012-06-03","R10","Sydney",20,12,132,"Footscray",5,10,40,"S.C.G.",92,2012,"Regular"
"2012-06-03","R10","Collingwood",23,11,149,"Gold Coast",7,10,52,"M.C.G.",97,2012,"Regular"
"2012-06-08","R11","Carlton",11,19,85,"Geelong",14,13,97,"Docklands",-12,2012,"Regular"
"2012-06-09","R11","Richmond",9,12,66,"Fremantle",12,6,78,"M.C.G.",-12,2012,"Regular"
"2012-06-09","R11","Gold Coast",7,7,49,"St Kilda",21,18,144,"Carrara",-95,2012,"Regular"
"2012-06-09","R11","Essendon",11,16,82,"Sydney",13,8,86,"Docklands",-4,2012,"Regular"
"2012-06-10","R11","Port Adelaide",9,8,62,"Hawthorn",16,12,108,"Football Park",-46,2012,"Regular"
"2012-06-11","R11","Melbourne",13,9,87,"Collingwood",19,15,129,"M.C.G.",-42,2012,"Regular"
"2012-06-14","R12","West Coast",10,19,79,"Carlton",10,9,69,"Subiaco",10,2012,"Regular"
"2012-06-15","R12","Adelaide",17,13,115,"St Kilda",16,15,111,"Football Park",4,2012,"Regular"
"2012-06-16","R12","GWS",12,2,74,"Richmond",11,20,86,"Sydney Showground",-12,2012,"Regular"
"2012-06-16","R12","Gold Coast",12,8,80,"North Melbourne",11,21,87,"Carrara",-7,2012,"Regular"
"2012-06-17","R12","Hawthorn",19,21,135,"Brisbane Lions",11,4,70,"M.C.G.",65,2012,"Regular"
"2012-06-17","R12","Footscray",13,17,95,"Port Adelaide",8,9,57,"Docklands",38,2012,"Regular"
"2012-06-22","R13","Sydney",12,8,80,"Geelong",11,8,74,"S.C.G.",6,2012,"Regular"
"2012-06-23","R13","Footscray",7,14,56,"Brisbane Lions",18,6,114,"Docklands",-58,2012,"Regular"
"2012-06-23","R13","Collingwood",12,13,85,"West Coast",12,10,82,"M.C.G.",3,2012,"Regular"
"2012-06-23","R13","Fremantle",14,5,89,"Essendon",17,11,113,"Subiaco",-24,2012,"Regular"
